"fixef.fit.","group","param"
-0.261154991505269,"t.0","(Intercept)"
1.05937564684142,"t.0","cdceb"
-0.0877933900456312,"t.1","(Intercept)"
1.03795704533819,"t.1","cdceb"
-0.123764883540264,"t.2","(Intercept)"
1.02403885482009,"t.2","cdceb"
-0.0658169170122803,"t.3","(Intercept)"
1.03262727762263,"t.3","cdceb"
-0.0909680830524972,"t.4","(Intercept)"
1.02075716678889,"t.4","cdceb"
-0.174033516089843,"t.5","(Intercept)"
1.01996324346901,"t.5","cdceb"
-0.0111530602380439,"t.6","(Intercept)"
1.05947920936293,"t.6","cdceb"
-0.0734573641754744,"t.7","(Intercept)"
1.02523684186689,"t.7","cdceb"
0.0240867246633791,"t.8","(Intercept)"
1.03929475802145,"t.8","cdceb"
-0.113307991203702,"t.9","(Intercept)"
1.00411492762091,"t.9","cdceb"
0.129493367526477,"t.10","(Intercept)"
1.05755249513508,"t.10","cdceb"
-0.113344966984622,"t.11","(Intercept)"
0.995746335966999,"t.11","cdceb"
0.139267122707597,"t.12","(Intercept)"
1.04323031763228,"t.12","cdceb"
0.0504982888393126,"t.13","(Intercept)"
1.02078417569958,"t.13","cdceb"
0.0898089328369991,"t.14","(Intercept)"
1.04339082537882,"t.14","cdceb"
0.0798635462114907,"t.15","(Intercept)"
1.03474193773136,"t.15","cdceb"
0.120104739758519,"t.16","(Intercept)"
1.03261643027839,"t.16","cdceb"
0.0465611305758253,"t.17","(Intercept)"
1.01667124965908,"t.17","cdceb"
0.248646357222797,"t.18","(Intercept)"
1.05149855188991,"t.18","cdceb"
0.0213574429552977,"t.19","(Intercept)"
1.00261072854726,"t.19","cdceb"
0.283878550168944,"t.20","(Intercept)"
1.05075452641517,"t.20","cdceb"
0.0249790589949958,"t.21","(Intercept)"
0.998357920856083,"t.21","cdceb"
0.234500411619035,"t.22","(Intercept)"
1.03323466163611,"t.22","cdceb"
0.111327953389385,"t.23","(Intercept)"
0.985828822218774,"t.23","cdceb"
0.168644748565281,"t.24","(Intercept)"
1.00729062193524,"t.24","cdceb"
