age_group_id,age_group_years_start,age_group_years_end
AGE GROUP ID,0,0.01917808
AGE GROUP ID,0.01917808,0.07671233
AGE GROUP ID,0.07671233,1
AGE GROUP ID,1,5
AGE GROUP ID,5,10
AGE GROUP ID,10,15
AGE GROUP ID,15,20
AGE GROUP ID,20,25
AGE GROUP ID,25,30
AGE GROUP ID,30,35
AGE GROUP ID,35,40
AGE GROUP ID,40,45
AGE GROUP ID,45,50
AGE GROUP ID,50,55
AGE GROUP ID,55,60
AGE GROUP ID,60,65
AGE GROUP ID,65,70
AGE GROUP ID,70,75
AGE GROUP ID,75,80
AGE GROUP ID,80,85
AGE GROUP ID,85,90
AGE GROUP ID,90,95
AGE GROUP ID,95,125
